Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
LuminaNodes,7X7oVv6K6wawMNzVriczSAEk18GzqyrYrvqyJbwLAY3s,233634.80098,1.589,90.77%,98.46%,N
Green House Crypto⚡️0% fee +MEV,BSRRvjdKd8SHApi3KtTGbzrdhUojitiwAt4xt4nAxbFh,233614.49267,1.631,90.53%,96.05%,N
SolDev,9jYFwBfbjYmvasFbJyES9apLJDTkwtbgSDRWanHEvcRw,232872.44774,1.562,91.11%,97.82%,N
Kotofix 0%,8EfUy8zz6DF2iTMQCUe4QAnoq4jVUzfU1yvZMCr2yJ7m,232530.67531,2.047,79.84%,88.47%,N
Not a potato + MEV,9KCBBdzx4cGZg14YaqBuZd1tGUvo9ohYnW7KEqQes1E1,232306.27965,1.441,92.96%,99.75%,N
Stake.org,StakeyJXE1yJbEApBVswHN4JdZXcj7V5MHbzffa4dFp,231889.76058,1.531,91.06%,97.77%,N
Latitude.sh,AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA,231721.92636,1.542,89.91%,99.86%,N
lelika,9w3YAf77BSGLQXahTpwAe9U9mNdCXkqmxH17uCyN1wyH,231203.08365,1.607,88.50%,96.39%,N
Ereborus ⚔️  MEV,9xEFsHZt2mbuGQjtVGABxpeQiNeDvj54pfsJrrrUUev6,231084.27094,1.576,90.28%,98.09%,N
JM,Eajfs6oXGGkvjYsxkQZZJcDCLLkUajaHizfgg2xTsqyd,230386.13357,2.176,75.91%,81.82%,N
StakeBowl,Bwkz1ddKoGE8hgiSV6HZLXi9RBLqfBi3HZb2QujzVGgz,230007.98408,1.383,94.09%,99.65%,N
0% Fee + MEV 🧮 Yonta Labs,BeSov1og3sEYyH9JY3ap7QcQDvVX8f4sugfNPf9YLkcV,229091.48471,1.968,79.15%,87.41%,N
Easytoken.me,21wUViiyG1g47VZ39ZZsSkFX9nu6bkyfy6jryHGD2TUB,228756.03588,1.963,81.82%,89.38%,N
Staker Space,49DJjUX3cwFvaZD5rCAwubiz7qdRWDez9xmB381XdHru,225970.65747,1.445,93.18%,98.76%,N
Stakerrash,Rash24BXgUyy65JJ5KBzpYLrj3pyCqEMEixLVimTcDp,225366.77580,1.418,93.29%,99.84%,N
0% Fee🔥 | + MEV | Bizuno.net,DnHUCbu4unnxGukqp5hJWZL6a1P5Msb491f6iybbRCF5,224472.15640,1.690,87.91%,95.67%,N
Nam-dok-mai 🤑 stake-earn-repeat,5XGMWvqZSBk1fktPtxbwaMF5dhkbrtchpwd4xiXG9q8u,223262.65423,1.555,90.52%,99.06%,N
Sergiololpro,BTquv7QcKQU48GyQEspnpseM7dKjMiXSb2XF1TF8BnfZ,221436.94353,1.601,89.20%,98.99%,N
,7nwBKRcUZ4A6Ni1VSoKKSacgLCraqdyQxR8SdVUZmiPN,221090.98830,1.568,89.73%,95.88%,N
