Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
BlockChain Bomber,BdDF74LLy8a2o95pXLzMx2ribFE4SDWCfDMkq9MRx4yb,32600.29553,1.718,86.84%,96.98%,N
BCB Credit,5Ri6yTqus7LdDaYGAVNGStC77BHZuQy8F6fYsp5cC7Vf,32600.22149,1.729,86.60%,96.68%,N
CoinClimber,6csfbzZEnk7kGJRy7Xg4cgAuRdFCUdrjckzRnnY1Qj55,32593.40711,1.685,87.60%,97.52%,N
Shepherd validator,BX7MLgYCYkZtnTTjccyJDMdD4ycr6D4cFMgaXfkbT8Vc,32590.72792,1.947,92.48%,98.22%,N
Fins0,AVWnWgnS1ysX7ymBbQ9pMdWnt2hpweWGYekHRM8mxpQy,32589.84201,1.745,86.19%,96.43%,N
,36jVWrHfpyN2RvXCkGA75qdzcBqFfMcyKbC2qg4o2gA8,32555.76981,1.885,86.69%,94.64%,N
StakeSage,GAKLDmghREn6YHGu5y5vTHA9JJY1Nuxy7n8zz4RFzH3p,32545.81167,1.725,86.68%,96.82%,N
Khinkali | From 🇬🇪 with ❤️,7dz4Zpj4bt6T6DsF8Lt3GKpWrkUXCXdmKxK2UGeAG2bi,32542.05926,1.432,93.48%,99.34%,N
Dosirak 🇰🇷,J4pH3yiFrzFG1AQPRGBJXo3HP72MCZwsQamtp9ym4LwN,32540.10466,1.487,93.56%,99.14%,N
TokioClock,FwPkzFcLFGH7GCAELuHVxNMuUV21C4wTdai5BA7Ptz6c,32538.05372,1.692,87.52%,97.57%,N
"🔋 P2PStaking:~$ validate --ecology green,carbon-neutral --in FR",5cXLZKeTuRm95ng96K2qCdxB2kSU1ajW291HmEkNpXkM,32505.16655,1.958,84.74%,92.70%,N
koshelek.ru,BEnZR4K28tNLPiH15tdxYkyhaXGbzxqFCNjzTU66uh8b,32475.39827,1.729,86.61%,96.79%,N
Welty Pro,AavwT5GecqFL18ino3YVv5z1icD6p7ENTuXuzAUf6QNM,32471.54932,1.725,86.68%,96.85%,N
✨ SolLine ✨,3tjGkvUsNEk8UBUQECCTpeAoo6NovHvEG44MZDPCcZko,32462.59116,1.802,84.90%,94.66%,N
,Dca6LSCR24veJsdLbDDS8n73vvNfSdQaa4mXhVjTXUWD,32460.04513,1.579,89.17%,99.35%,N
Yevheniy,7ECQ4mUCMpxF8kchT5sHg5JpwV9eves7yme4GB72m1uk,32453.88425,2.290,89.25%,97.62%,N
Eiernaggen,G7vraB2xC1yMLp7X451Wof4DyEqsWzSXXtTKdRJb91k6,32445.78183,1.934,81.27%,91.82%,N
BUIDL,4XRkaMPQnpAncWVZxAw1NfiqGiAX7oa4Ccg8mTD1JMn3,32445.27912,1.696,87.41%,97.51%,N
CoinAtm,78Txiv4aMrEeTLNhJYtfnGwtvuVH4NZ8igXS3oYeKdg2,32444.08846,1.702,87.38%,97.34%,N
IT-DEX exchange,2ueVedJz8CZm85wet8vxPGX2bD3VrhB9oXk46ym9rcDA,32443.41848,1.699,87.35%,97.31%,N
Prizmbit,2Dh9w9HuNuvmpmsfRFqWhNqQuMX8U9BAU4xyyyqzEq2h,32443.38051,1.751,86.04%,96.24%,N
Abyss,3JadNLK7V9NNzC9a1jRAZQXExT7mBtBhcjCaaaRE7B3R,32441.09195,1.885,91.73%,98.58%,N
StellarNode,6GjZkgrdkS19Ws5Zy5BEBgrHqgwXZynr2biHjTZb1hdM,32439.38729,1.700,87.26%,97.29%,N
Captain,AtBb8cCroMeGNhiF2H5eAzfqnHLn6jS5mZtWFhszwKnp,32435.87286,1.699,87.30%,97.25%,N
dunker23,BrF3uiDCn4yX55kZ5wcGN6NBUdg9pksWRzaniBALJLJu,32431.19847,2.097,76.70%,87.36%,N
GCrypto,66ADRQzSCUySLWsrqaxTLzH29a37SX8xcuda5VJg4Mga,32403.52884,1.698,87.42%,97.45%,N
,CP6eYHRX9UXgucwEt6J21zfi5cu2cqG7h1UJZpBSoySW,32402.07602,2.028,80.96%,90.31%,N
Mo's Validator,3eV533fsCb9EkazR6C41rTHnvLfwtzh415U5v5W8hZM4,32359.61061,1.801,82.38%,99.02%,N
solomoon,9JiAAwGRDvb6JzAarUfSBTeoD1vmGd2ujxf71CpQZcbJ,32353.06043,2.040,84.69%,91.72%,N
,63CeFmqGDCSUUbF2EZ6UfMwoCzrZYJptAvj143qVeh1,32349.85691,1.761,90.50%,98.63%,N
NVFarm,GrtCNjHDd9dFwJ2HVCR26rKBfvDXHav6wkDZT8F5d4E2,32343.23117,1.418,93.62%,99.68%,N
Synergy,ANRnEc3NFWyDFkJNHPnts9XAT1odt931qbgzMsSGdE1z,32332.69030,1.607,89.08%,97.78%,N
,8TdjJkjmZM4m2gPCCSfVYwd8gZc5sb9WtcYm4Dm2wUvk,32331.40918,2.054,77.97%,88.76%,N
cok263,7GLsg47ChRfrLNTouzzkZGJUFe7BvuSLd4UGPAowBxhr,32296.05087,1.923,84.43%,92.16%,N
SolSheen 💞,HMLfMHdETcGSqPGAr38rSiwewsSZvLPMMPALc5pggtiW,32290.44066,1.870,83.41%,93.60%,N
EvasMainnet,C8MLmDCg3LReWoNCkFdHgsscFpHx2WdtcU9ZziNfXrhd,32289.86639,1.801,83.54%,98.31%,N
,9QFvZhLvpbcFJTPkKq5wTWR2DGTXqrsP8z9igPgjSsZ1,32278.99700,1.760,87.68%,97.20%,N
Payler,531ABLCYsNQ4xztxHfoCc4xqEQ8xiEWWSP3TKDG5s7hz,32271.34679,1.704,87.16%,97.18%,N
rs_99999,8cKzJdvB1imSKAg1SeY6yMmNDgVkxhtqMcuZgiyWQTmx,32263.79296,2.074,77.93%,93.60%,N
,7fx4aYDuLyGQenUWy5xdXPfqFhiH5rcMsMjnx3asii4f,32259.51477,1.778,85.03%,97.83%,N
🇹🇭 Sabai Sanuk Suai + Jito,65XpGeR8ScLit1sEZTf5moSEJR27QJTPWJ8AdAuHM6Wz,32247.77597,1.749,87.53%,95.09%,N
,DiYFYCDVurwZPVWieFsDNjG6iS2nSfBb5JQg3huY5eEu,32230.63784,1.552,90.07%,95.96%,N
Kitsune 🇯🇵,H4cXCqtAy8qdu9qe2dSxoPhUscMTYVrmVBXyPqRVTNR1,32227.77762,1.601,93.64%,99.32%,N
Gaofushuai 🇨🇳,F13Fo2eRH5EecT1gL9TAisbLxwDYiLsK7sTjHAEmprTM,32227.54553,1.599,93.72%,99.33%,N
Solidarnosc 🇵🇱,2WKHhJ34gNkw1G8iReLXn8roPfQUjsLyzjWHspNdvbFw,32227.43272,1.633,93.77%,99.35%,N
,5zDuZ9QYyREv5yWJpKJ9x96R5HPEmBMMcMV8VhP1zmUb,32225.39479,1.823,84.43%,93.61%,N
,Hmq1oALENff8DejgYhJxB4njb6pyCtuMKKxotdZicB4n,32219.38200,1.927,87.57%,96.20%,N
Collector,6thJCXmoS2EEgKxiub4ekWysjKWPDc5kAtuMgSui694H,32203.13373,1.705,87.21%,97.12%,N
Saltee [0Y],2YnL16L174Tj8awY9FfRfR5odpGNEbLnx3dM6CRt9L81,32183.63495,1.433,93.55%,99.48%,N
GO2Pro,7EehNwMoKCwFULMYDcNxv991pVdtBALKR9DSXnN8DJE3,32183.35487,1.761,83.54%,99.24%,N
MustacheOctopus 0%+MEV,5n1QipQq1eZUTCggETJu3824G44JHJP3o1x9xnY8popV,32177.20460,2.029,77.56%,93.41%,N
Stake Sonic,862VZk4B2PrWf96MDbvu6EH1j9PMKqhYA4FAgQWhpRYF,32175.35264,1.702,87.26%,97.24%,N
,DhfTMGRyG6Ce8sm4jrLpFTDERGDR5EL5PBqTvYoT6h5E,32171.80937,1.551,90.20%,99.44%,N
,HhsdMwhsaUgAtYZ2pedFEWZwsAhGZsjLF3sjFquS1H2Y,32171.51262,1.438,93.22%,99.53%,N
Gotham,FyrSH4VeQidMVPQ9AE2szAbP5xBZBprRG3z1QMMLNi5X,32146.92581,1.828,84.27%,95.02%,N
Hygge,85ykoc8e56w7wDB3q9obP4fA8WwzvWVNGspgqN2KZ9gC,32137.59785,1.604,90.77%,97.13%,N
NiLSol,9KUZ4k28zDMUuh34tBBmdnq9sA4uDSdCPPjCPnUa9jKS,32115.19602,1.413,93.72%,99.71%,N
Craving_for_knowledge,9hRVfSz8GudfGFQd3X7HTjaGRiuwj7dpjS3jtuy8c7mk,32113.82657,1.397,94.04%,99.68%,N
GoBit,AY1nugg77a2QEMfTKrfniYqHp5MgLMWykXTKwZwXYxQD,32101.69472,2.178,77.11%,83.61%,N
Vietcong,CjspxRz7DTACphbx9J7ijypCvvVg3PHFo9rwmfajECfL,32092.54634,1.839,87.00%,94.34%,N
mythical-stake,5bZfZn16KfmQpmjQeVGrbo5t17aUesLtNMmNNM78FzC,32090.13711,1.827,84.97%,95.51%,N
Alex0Alpha,137Hw29uc3HsYkz1YtdG8AheS3a55UKiaAfBWSn28vxA,32089.43529,1.723,86.74%,96.85%,N
nova,53fAQnWfTPoTQUb3AwPsUZsTTe4djRHmW8U8yztvVF8G,32088.08943,1.539,90.63%,99.32%,N
R2D2,8YBQZbNQKwtNLgcNPExr2iwWUsrSTT4PsR8duxjtWiP3,32071.43731,2.101,77.20%,86.24%,N
,3kV8UahWWN7Fh41PddYczuismJSLjtrKhYRZW5RUqiEK,32069.41579,1.887,86.31%,94.17%,N
Alexandr Threlroth,A2GkHf71SqegGcLmhgs6XzR5YfLh5ZJ2Ci2vKM5SY5WR,32069.23270,1.846,85.30%,92.51%,N
Khunchan,8oGhRavfRf13fBdp257nitq8VVgXhRAZxR9fR5Q4oKhH,32049.83280,1.444,92.89%,99.15%,N
Forge 55 | 7.63% APY | 0% Fee | +MEV,8StzUMT1Kq33EHPoFx9zYhfuvzAbiqeh5nE3DftLLDPG,32037.74893,1.575,90.63%,97.01%,N
STAKEZILLA 🦖,GNEQZLFjM1QXvMStREZhK9Z8mYH2ShECMDDGhNWcGfxn,32030.65772,1.599,89.68%,98.45%,N
Spartak,HdP3326wLHUqtzNvVfxFWtfp5EA8njHdfwnWfPoCBjWa,32020.76794,1.898,86.57%,93.82%,N
sustainablevalidato.rs,8HKqT579dAjdTy86zKUs8kAaGDHXY11wDC3ohGCkLSQH,32018.56452,1.987,80.84%,95.45%,N
Retsina Technologies,9mg9SH69itqkRdy1CudMforH3ju7uR3K8GH8esGx4Mfx,32016.99763,1.883,80.79%,96.43%,N
Svit_Validator,3khMmeupU7B6ZSDSbTX5cYtME9yVqeJ178PQD7mCE7g1,32015.40533,1.671,88.33%,95.69%,N
,7PHy8rXJtkfkgpsHVtSiiX3StdwD4MG2VdhoeciLzaHv,31978.41864,1.516,91.01%,99.54%,N
Infinity,Bzn4NxNmh6vTrZyMRoL2qjZFNYbckRwNyHQwxzoJoggX,31974.32522,1.810,92.37%,98.74%,N
Sega,3Rv2AfJuaunDHePFPGiDkN828nwzsbcZ5nM8jNdW2i2a,31970.79881,1.843,86.96%,94.14%,N
,6wLyyZDBRy88MhyfNK1qjqWjihfdcZWksSHiYecZ3ArH,31970.11637,1.431,93.82%,99.55%,N
SolTrustStake,GDgKAmToNdQyB4bWiieh4z9MAfPknnnq3LUUq3Rc36TV,31967.28588,2.228,89.78%,97.39%,N
Sign Labs - Validation 🤟,91413b9eEvG6UofpSgwdUgH9Lz4QBF1G3J325Bw7JwGR,31961.56268,1.906,81.76%,92.45%,N
igor171M,jVYhgtviF8DjxGQp3JYS6YZXoXA2LontoxK9cqQmjq3,31957.00121,1.940,80.02%,94.52%,N
,5cYwwC8dmQ2tvtjDueHrU2B6NvmTHmoimsNGeGXVbkP8,31955.70192,1.873,85.22%,92.15%,N
RealNiceNode,84gebYpPpEafPeGJUVA8QzfaTQC3GeyVufCTHpqsQqE2,31953.80905,1.521,91.62%,97.36%,N
,QxAyeuVu3oWJt9BBCcuSphvXADPic7hq9dXSwLYssmo,31949.03434,1.458,93.19%,99.57%,N
PlusX,WTpLibwKTmWo15cRBtJFiBU6NoN8qZEnMDMkuM7N1rH,31946.29245,1.886,82.23%,88.43%,N
Forhayley,BmCLQofhV75owwSAbhZhvQtRRcCaftKUwNfnGBv41QEg,31943.90808,1.814,92.33%,98.74%,N
Ancient,7bshVP74UGL7gn6CTEztizxKsZrcmwPmB4rT1tVbU3vH,31935.36063,1.702,87.52%,95.70%,N
GVCmd,DD74C776HxSr7rzBhoawFqGf2NBbxurBXkjPU1oTkNJm,31929.56326,1.435,93.47%,99.29%,N
alex,BQMvUHC6wqpd3TR8B5tAF8WXQ9xBRkopVqzAC65BSd4A,31920.94597,1.940,84.68%,94.28%,N
kiwami.sol +MEV🚀,Cue647T8jgwpRSDUb8ttTYx7NiEfJCRZNiiw1qmchXsG,31918.60089,2.192,75.17%,80.56%,N
Nautilus,5woJQ7GLyexhbpT8wzQQV8keYgFhZaJWKf3QGHS4YPmd,31917.35256,1.550,91.54%,99.01%,N
,2UuXvFqNmyxsNygvFUfjmDGMGn7pGQ61t5CUzvgczazW,31915.71172,1.944,84.36%,94.15%,N
AaruAbhi,6CSENi9ZT4iMQGgWi7mBBe9bKwe5qKamcJg6MAANTzrN,31911.57878,1.986,84.26%,93.70%,N
maximka,7rFAeD5UT4fy8cQCnY8Y5F8GW1Wgw345Nxb7diXu5cjG,31909.76460,1.974,83.99%,93.73%,N
BAZYLA,AsiGmWgxcbZm3FdbYHJ241pqt7r5FjUndATazYeJ871w,31909.30756,1.947,79.09%,96.90%,N
Saint Validator,56ixbAMwsBiguYXsbzABGNaQVDeFDXQdA9m6hvyumtLy,31908.94312,1.713,86.95%,97.06%,N
vilar,DsT3eKbWAaX9wVZQYBsbkDwpFA9NTDtXfsYc9wXUEWpn,31908.92405,1.760,86.41%,94.42%,N
zankinpro,Asns2MR4Su8domaswW1qnMcBBbzcW1SfJurPweKXgvd9,31907.49589,1.934,84.37%,94.06%,N
,ifHMQAxuzMPF19jsZXpLMTA9wNzPzB8XkNaWyCi8Zg8,31905.14690,1.971,83.89%,93.63%,N
greshnikKing,87d9cGc1xHFxoiteZhXjYL48U6B1DAdLhpxXhmVKi1un,31903.21713,1.974,84.25%,93.81%,N
,HfXwCe7o66x2bDC9LvXLPcP7FpxcDzDhWzxgrCJ9r44w,31897.01436,1.680,86.25%,99.45%,N
Yulana Validator,Hocu6Vb6cDRYy5MnUj28tvDwda43wWx1Vc3fiCXziJ4x,31895.65696,2.201,74.58%,81.22%,N
,EZCQcPkgsNS5rnfoAWRsVZNGEo3GoZSVV4qSdeWrXzhX,31884.22934,1.960,84.20%,93.68%,N
,8EwqVDPwa773DXfymS5dhvahabfjTSB3qxnpq9kR7bNp,31873.64740,1.502,91.34%,99.77%,N
YO Validator,EreifamaYZ1cAtegv5hJFgRSqDQg3i6uRamWXfYuJeC8,31873.14902,1.840,84.71%,93.61%,N
gsnode +MEV,Aq9DBA3EtBRU19Vk1NKBCEReRaZNv9eSR2VexgbZteu3,31869.78025,1.802,89.64%,97.70%,N
2poyDev 0% FEE + MEV,725My2yzg5ZUpQtpEtivLT7JmRes2gGxF3KeGCbYACDe,31869.22381,2.047,80.33%,88.22%,N
mainnet_MHS_validator,BgjQPDdsHeD9XXs7pYyHsmvKdkLR1A4SBNYs3mLmPUCD,31853.09215,1.794,83.75%,98.47%,N
gitbash,8vqRKnHH77FdrBxSDR9KozJE98R1ETUJCSrFYqoYmbKh,31851.28944,1.700,86.23%,98.44%,N
Arnaut,7cUkUBJKGHEH8dT6FrJG7TfifE7ZUjhu65NakpAUZuP2,31839.08846,1.863,83.57%,90.99%,N
trk,ARondxXAhmFsVfVkhyBuCvnszpzpH2Joge1nD65L1G4V,31806.13184,1.518,90.80%,98.83%,N
RlapSKY,YWKwnuovuAw4X3VDPJDPo5DPZ4TmdxsXzLArbvqu3Ph,31799.55348,1.440,93.03%,99.73%,N
FroBegz,GZzcHTsorXLrWEevXYo51ED15NTYPLPLzgGxddYMNdn5,31793.21204,1.920,84.40%,94.37%,N
,9gX9MV3nGHRs1R9E52Q3vMg1tNGe5NHvzdfo3AMHnr5t,31790.98278,1.968,84.42%,93.91%,N
parik_main,E2J7T2reBRF1VesJJozG6T73RiLoNBqjfFmZR3zoDkGK,31787.39370,1.591,90.04%,98.53%,N
SolanaBull 🚀,FLCrbfbwEhFARa8nK9rnZw8BVtKNAuHujh9EhWy5A4U4,31787.17404,2.150,76.59%,87.10%,N
,kWEiSEQZMeLAbMUiz1njRTZEjuSpJDCgVynB6pJHpcr,31785.48476,1.762,86.44%,94.09%,N
pons_main,GW2AzEi3mttnuhnNH2hGqMuUz3FYKqo5Vgspp8Rx44L7,31781.68826,1.609,89.43%,96.66%,N
,Fgevrsfh8KsFN7eomRWS3N2bjKvqRBGMcEo9oQbT1ikX,31777.63529,2.000,84.00%,93.79%,N
anyast4r,A8ARsTnLNEieHGNvnjoiJj9A1JY98dXbnohA18YRmDzN,31754.83497,2.221,88.33%,97.17%,N
metralunabsolstake,7fCmwpjXHBsJsSCecxsuSHeGCuragbh2UXfzfKet223o,31754.30102,1.587,93.09%,99.32%,N
spiva4ok,Agsu9fcnH3rKBix59mktDRqJhjR8aStgLDd9njaddcdr,31752.80198,1.842,83.71%,93.65%,N
SOLPOOL.IO | High perfromance,6fq69K3h91Jd8s8StttX5CkusubhTfLBQy7uaot6XSzk,31747.03242,1.533,90.95%,98.69%,N
OMGmd,7t6MVrT846optKpHkXEKNMUMhMMukCVyjMhjTdd6ARBb,31739.02633,1.609,90.58%,98.54%,N
G-Scale Validators,AduRf23soau1sxTo1eyAoV11RyrtbyeF1fjj48jX9vYh,31735.73539,1.701,87.71%,94.95%,N
OniksMB,rM9aGauE58jt9RHYwZwsqiVfE4F8Rq429iWFHohwQuf,31734.87163,2.131,89.24%,96.83%,N
Jack-o-Neill,2zTwGrCrmXNvuhmasxZerKd8ep43Rr2MMoxgs8xS8gWb,31729.82589,2.328,78.01%,85.41%,N
AmnesiaHaze,5PyiGb6dNrCaKTkMfovKRQPYgH5zizcsvXp9YUAVWqbo,31729.19181,2.051,81.90%,90.82%,N
Sveta-solana_MB,6oKqaVoS6o8hHSzP8uFp7E7C6c9i7hfznvSb5noBQAFT,31718.09081,2.090,74.91%,97.39%,N
LucaMB,6xL2wVoBKjJkkvPYstjT6yrNHTaxMezmPhq3dqLA4q3i,31713.61765,1.678,88.65%,97.28%,N
SHP,HymVLhdKah8BrZj4FAXJJYH8nhWGqjqvFvPFJM5L5VNa,31710.88363,1.653,87.66%,98.20%,N
8888,5KgAGvMLZogKnDGKGgn47xY6GaTwQ3WBbGPoBxW5nDqp,31703.36611,1.702,86.86%,94.05%,N
Craze validator,FSwhPiYebzF5nNGvWbUUZ4SxGx7kw2QcA7A6xgYz1PZJ,31700.57943,1.715,86.95%,96.96%,N
,5LSs29bKmRBDSJE61jAbEcW9KSzKo5Zd8iuidU5yApKy,31688.78711,1.971,80.26%,88.76%,N
Ti,8HKHFcDGkmeedbTcnK8ntXdqRhYJYWEGbk8325tgv47i,31686.71976,1.529,90.87%,99.13%,N
,4hZueUrKETMSg3k94JihgbyCdc8nma3GcvdeKBrtWamQ,31681.50474,1.732,90.53%,98.27%,N
lal,FxQLh2b8JnBFwPw325tix5x6BEJ7ibmqz2LyKLZWiGAX,31681.24546,1.857,86.39%,94.99%,N
RSP | Reliable Staking Provider,NM7f9N6qGAW6bfGYPxp1ZU5ycD1SWqPvFSx6VyeHNvK,31670.94610,1.982,79.05%,86.10%,N
Arti4,GAnbgkZq584QAdfZZzX8aCiKvDYcqszY3jGCiwqm3a9h,31660.08742,1.424,93.13%,99.33%,N
,6sHtpsxU8KPY5cd6EbutSBUGaXnwu8r3voM3kgjSKoW9,31656.86502,1.955,84.25%,93.76%,N
Dima_FantomasUA,AUTnPgB8m6qsctP9RRAcmnVrLSpZbBYB8nQAzYUN5j8q,31632.79707,2.005,79.34%,87.89%,N
Light Solana!,6mEgxgVus3rWJrt3qFk3BvEV38SVHNCqBdQJXxLBbcst,31632.54494,1.688,87.56%,97.55%,N
Wave,H1kyn75BFTXr8QRmToRRvuEEmYan5n6M5APyfhMLau3b,31631.02420,1.662,89.22%,96.72%,N
,HFpuMHuQqUY9o5D4g5ByAJKEYQrMLjwcusDNjozXa4Dg,31624.50765,1.975,84.03%,93.78%,N
SuperNode,9rCg3Nduf3YSPkvYWw421n8Ya8EUJ5KQQvkQaK7G3DkM,31622.89669,1.690,87.57%,97.57%,N
Solid State Nodes,4MU64AyHBkRBUAYgAm91sP5vFgzUUgFHuS82CVhE8Q2Q,31621.04919,1.527,91.29%,99.58%,N
verasilver,8e8QYWHrPEEpAk7rDJ3BSKm9YGnfb8cwmGzo6EMb7tYb,31620.72730,2.136,88.51%,97.39%,N
SolGeo 🪐,Cqg1VwU4pdC8zAYMZZUViJuy1v1G8vxdYeUW3UNCqpfV,31617.26171,1.604,88.36%,99.60%,N
4Alpha,57gGMmhTCxHtLevWHzDdrme3e4SC4UCXEq9oyfR4hDjE,31616.74707,1.700,87.36%,97.51%,N
,ArgSLuXhyJzchuv8cN7oYzsVaqiAZwgdvG6nQgyg3Mhw,31614.57176,1.972,83.93%,93.67%,N
VXTbit,66PSXQ5Z7mFqLZFEMYD657PJFGqwqqqLoFa1rkrp2S7G,31611.03284,1.749,86.04%,96.29%,N
Stake Sultan,1bB6Z9iaL1TM4VTo54B5w1FgCXFDbbtVkVJu4VbiNNc,31611.02983,1.700,87.26%,97.28%,N
Block Chain Barrage,Cv4i8f7AZ2hA7LfSNmTRTbvCTUyRSbriSa6gUA3ncbgG,31604.75346,1.695,87.44%,97.48%,N
Cup,7A9NSA1SZrszosi37WHSYARjAc3JuXxVqg3q94xjtpM3,31600.80771,1.882,89.38%,98.50%,N
Pizza Pool,77vww1KxwCCsVRFioJbV4CGwTVyeyrf3KRC9SZdbHwtc,31598.97728,1.736,86.39%,96.60%,N
Rich Druid,6cEvDrwXz3Lq6J5s6iFtg3hcuYoznPPV8g6JZ1mJ5aVf,31594.88091,1.737,86.35%,96.56%,N
SolWizard,GDeQhGxQeHC65MWt7o27NdjichewGMm7iCHuZLvgGrsA,31593.30694,1.704,87.13%,97.21%,N
ALX,EjCgjDEG9Moendqzv8wkCmnJiuNMAkDioYFRQxGYU7gc,31588.78416,1.691,87.49%,97.38%,N
CryptoBox,DFciHT8BrdMwUqQj5s1uzuN4u7EZ8qzkCgEEYTsF36uD,31587.55224,1.427,93.44%,99.67%,N
sergiovanni,J4oLW1wjuALZhiDUQeZF4fo9ZMwTCmup6YyjxAxwsjbH,31582.81719,1.977,83.92%,93.74%,N
ivzor,8Rs4wJJVFaRmARmwSvsVSAcSsUb9ZJD4USejuHm974hH,31578.71007,1.851,84.65%,92.18%,N
⛰stakestrong.com,2yruMEFWuAJ9C2jv5JyjAfgTZVGhCmv5945TUwdP17kk,31576.57102,1.633,90.97%,99.06%,N
topnode,4jx1b7HCN9nCxygP3hruC85BxcYndhxby4hkNexuHvxT,31575.32858,1.834,86.65%,93.76%,N
OSATEAM,3nSx5yrMimosm6fWh3KooRp6RxAr2A81o7UAgZUhuLQc,31574.24912,2.233,80.22%,89.37%,N
Bazel,3z39UyCtJf3gcCmBMgLU3LJFUBWP9Fvmr9fhGZXb9Hdi,31568.74998,1.750,85.98%,97.33%,N
Approved ✅✅✅,F2kfm7Mt95pd4UMPs17yVAoGDDDuTGxkhkbPZmBrUNtz,31557.41754,1.555,90.17%,97.41%,N
Nautilus Navigator,9UL36jMUb87NLqGhMDTZdEreZQ4gjQMcc5w5p1B4JaNS,31557.36368,1.699,87.30%,97.26%,N
StakeDC,2Nd2Kc7hxj19GY3Xshrxuv99kU2EpAYT2KfdbvoDXcuQ,31552.44993,1.552,90.74%,98.79%,N
SolChest,HXAepTnchdti3ogS88CGTiAFKrxrDt8gfiFA9KeVZBh2,31541.23707,1.727,86.71%,96.89%,N
StakeMaster,82LBHm7QzS7AZ266njB8uQkMa2t891Ma7CjhfTwQfuy9,31540.91830,1.706,87.11%,97.15%,N
[CLOSING DOWN] Stakeland by 9GAG,5RGkitNE39MRL78ttAPTfBMv7g3eKHzFiKHZ2Sr2J555,31535.19535,1.443,93.35%,99.13%,N
Aviasim,7iC1Uu6QBqNG6oaBimnPgLmtoantH7Nc3RD7SoLHgVET,31533.33365,1.494,93.00%,98.99%,N
,nVu3zzzLXJJzvoozEaUCyNFnHE2ZTgjzdG251EMW3JW,31528.76145,2.272,74.00%,79.00%,N
AlexNode,Ecqv59gqDSjVc4XsnAjR5TwK3Csk5dBxKtWJUG5c8ZJF,31515.58238,2.434,86.19%,93.84%,N
,BUu7cMtX6vnp7DFciYD7LsJqyf3WnATQPGjAgUoq8sgW,31512.65676,1.894,82.70%,95.68%,N
Finance Man,29VMLFnCzjTeJBpKpoq1UQhc81y6LHYVABE6DdJNWUXf,31512.63448,1.696,87.38%,97.27%,N
CatStake,9fQPHLhdbxiVCM8y5vNShMheCsQtk4Qp44qSSE45BSBm,31504.31368,1.601,89.71%,98.26%,N
,HdRcSKhqD4iG91qtsFpgATit1vZCcJQgbjnZoNdHmnC5,31503.24515,1.562,89.80%,97.97%,N
,8Uxj5i7CHajuNBUSNHdGzTz8yvmHHk2HfHwLt5ac1wxV,31501.08654,1.708,90.91%,98.50%,N
Opt52,HSV5EHECVyJhDFV1uApzXbU7uK17Z1FXcvtJvHyi2jXC,31500.87779,1.468,92.11%,99.73%,N
,5nqCxM3G1FKEZ4gUirNfpVoZSV8csVFXxbq382DdMHPd,31498.88420,1.742,84.21%,98.87%,N
APom,s1V1Y1XFHfr6pqs6edVNzA3W1kf9ye2J3VhrgKMQyb5,31497.40667,1.837,83.13%,90.68%,N
scoobystake,AmDHRdGGHijAoPGr5p5spysfwms3otXjJ2M7TYuqmwGA,31493.58759,1.656,88.47%,95.86%,N
NODE WIF HAT,BpoqTRHu5K2XZEJe4EicRnyYabeBLG9TVekBXiHXSXTi,31492.75981,1.581,89.52%,98.76%,N
kaz4a,A8f4eVZPybix5Ep4W8Q6iAPZ83jo5Y2wWXttwF42MH87,31491.44473,1.658,90.53%,97.76%,N
,AAfutJ61CwSB4Y1t5iBPVRRaq33nCDEot4WxbdQ6Bahn,31491.19775,1.614,89.00%,98.62%,N
,BtY1xJFYukPn1sFnixMDpXcUt1feL4sGqQC9A3LZi1Rq,31490.78154,1.705,91.55%,98.69%,N
,NfqEUZxKU4J7C4HobtMRFhBP6MvKvNCoa7wXSdwZNcg,31490.75151,2.378,77.89%,87.26%,N
,FKU3YWq3AUuN2mJVR2pJgbsVQHdGeaK1Yj1iMBhJugd1,31490.45322,1.721,86.90%,94.76%,N
trezorito,EFeLsLsrLhGqy7LSdws4sKvinvCohBBAda2q4iHBrrss,31487.23164,2.427,75.80%,81.12%,N
,3j1Xp8ZrfEYTUEYyTsDNv6kVCtDdwoKeHt86BJZTftav,31487.14168,1.570,90.26%,97.56%,N
Brotherhood of SOL,5F2HsNA9j1A27gFH253kxbbsmh4dWUDxFJNFrQuFdXcJ,31486.68149,1.722,85.24%,98.91%,N
,Gk7aonsprBZXQBMMEDgRVJ6RdMRwBd3KXQcu6k2T7hyU,31486.61738,1.470,92.06%,99.72%,N
,EtGWDbP7342Mo2PnG6MYUP1rL8v69ycn1FRnRTB1BLU3,31485.06063,1.911,82.12%,94.89%,N
,BG43US2rrtZggEPtXuVnabwp9FbKCuyZDASvJ1EsNAHF,31484.63701,1.610,89.00%,98.54%,N
Pelmeshka - Solana Validator,HTSo7WLg8EGHCHJREUYrhTpsz3SDVjda5gP8xqDTejEe,31484.25260,1.663,89.72%,97.90%,N
,GeYn4XjKycYJ6NqTFb94sYowMrtmKfHBcorE6SGAomQN,31483.37550,1.612,89.32%,97.20%,N
Cabasol,8BCSZyw28kK3pt3DTNKoVysjMggakuPpE2WB3pTcWGim,31483.05148,2.204,88.36%,95.42%,N
